sample_number,eval_time,type,0,1,2,3,time,any_bif
3,0.5499999999999999,forced,0.0005610765,0.5293398,0.09801782,0.37208134,0.5497235316185226,0.99943894
3,0.5499999999999999,neutral,0.89952725,0.09462339,0.0034808752,0.0023684348,0.5497235316185226,0.100472696
3,0.5999999999999999,forced,2.6338326e-05,0.0028087883,0.02257443,0.9745905,0.5986559885171835,0.9999737
3,0.5999999999999999,neutral,0.7611097,0.22738819,0.0060417876,0.005460326,0.5986559885171835,0.23889029
4,0.3,forced,0.4680063,0.27914855,0.08849989,0.16434522,0.29855323035769626,0.5319936
4,0.3,neutral,0.7676887,0.21670036,0.0031211008,0.01248982,0.29855323035769626,0.2323113
4,0.35,forced,0.4005498,0.35402912,0.08450649,0.16091466,0.3491167691529792,0.59945023
4,0.35,neutral,0.49989304,0.294892,0.05881542,0.1463995,0.3491167691529792,0.50010693
4,0.39999999999999997,forced,0.0086698625,0.6132252,0.13640293,0.24170196,0.3996803079482621,0.99133015
4,0.39999999999999997,neutral,0.8972305,0.08729949,0.007454793,0.008015169,0.3996803079482621,0.10276945
4,0.44999999999999996,forced,0.0005113265,0.32205757,0.086935945,0.59049517,0.44861276484692303,0.9994887
4,0.44999999999999996,neutral,0.82402384,0.154084,0.0018100587,0.02008216,0.44861276484692303,0.17597622
4,0.49999999999999994,forced,0.00018078773,0.01364403,0.09678403,0.8893911,0.4991763036422059,0.99981916
4,0.49999999999999994,neutral,0.84636366,0.14052778,0.004164326,0.008944199,0.4991763036422059,0.1536363
4,0.5499999999999999,forced,9.868827e-05,0.004869555,0.061837208,0.9331945,0.5497398424374887,0.9999013
4,0.5499999999999999,neutral,0.97212255,0.027276268,0.00029163284,0.00030950346,0.5497398424374887,0.027877403
4,0.5999999999999999,forced,2.6429087e-05,0.0040547894,0.040800914,0.9551179,0.5986722993361496,0.9999736
4,0.5999999999999999,neutral,0.72493786,0.25895762,0.005010268,0.011094238,0.5986722993361496,0.27506214
5,0.3,forced,0.68256027,0.15465449,0.06633024,0.09645501,0.29856954117666246,0.31743973
5,0.3,neutral,0.62414753,0.25078097,0.013919406,0.11115204,0.29856954117666246,0.3758524
5,0.35,forced,0.69332904,0.16634497,0.055478662,0.08484736,0.34913307997194537,0.306671
5,0.35,neutral,0.6824385,0.16215737,0.081188194,0.07421592,0.34913307997194537,0.31756148
5,0.39999999999999997,forced,0.26912475,0.37933335,0.10007439,0.25146753,0.3996966187672283,0.73087525
5,0.39999999999999997,neutral,0.7268535,0.19777253,0.025403673,0.04997028,0.3996966187672283,0.27314648
5,0.44999999999999996,forced,0.0032348845,0.54242957,0.10601781,0.34831768,0.44862907566588917,0.9967651
5,0.44999999999999996,neutral,0.88119173,0.115242824,0.0006228303,0.0029425877,0.44862907566588917,0.11880824
5,0.49999999999999994,forced,0.0044746464,0.45010346,0.11448487,0.430937,0.49919261446117213,0.9955253
5,0.49999999999999994,neutral,0.9529066,0.046315566,0.00026953354,0.0005083297,0.49919261446117213,0.04709343
5,0.5499999999999999,forced,0.00070609996,0.5099761,0.07241732,0.4169005,0.549756153256455,0.9992939
5,0.5499999999999999,neutral,0.50494754,0.43286735,0.020994784,0.04119033,0.549756153256455,0.49505246
5,0.5999999999999999,forced,6.705184e-05,0.06887825,0.018480146,0.9125746,0.5986886101551159,0.999933
5,0.5999999999999999,neutral,0.811495,0.18418808,0.0012983921,0.0030185282,0.5986886101551159,0.18850501
