k,variable,value
0.34691938387677534,0_real,0.4033640564547312
0.3467693538707741,0_real,0.4031218911036874
0.3466193238647729,0_real,0.40287986347404037
0.3464692938587718,0_real,0.402637973327191
0.34631926385277056,0_real,0.4023962204251419
0.34616923384676934,0_real,0.4021546045304999
0.3460192038407681,0_real,0.4019131254064629
0.3458691738347669,0_real,0.4016717828168338
0.3457191438287658,0_real,0.4014305765260071
0.34556911382276456,0_real,0.401189506298961
0.34541908381676334,0_real,0.4009485719012765
0.3452690538107621,0_real,0.40070777309911043
0.345119023804761,0_real,0.4004671096592151
0.3449689937987598,0_real,0.4002265813489241
0.34481896379275856,0_real,0.39998618793614643
0.34466893378675734,0_real,0.39974592918937685
0.3445189037807561,0_real,0.399505804877687
0.344368873774755,0_real,0.39926581477072587
0.3442188437687538,0_real,0.39902595863871315
0.34406881376275256,0_real,0.3987862362524405
0.34391878375675133,0_real,0.3985466473832676
0.3437687537507501,0_real,0.39830719180312785
0.343618723744749,0_real,0.39806786928451665
0.3434686937387478,0_real,0.3978286796004908
0.34331866373274655,0_real,0.3975896225246739
0.34316863372674533,0_real,0.39735069783124827
0.3430186037207441,0_real,0.3971119052949477
0.342868573714743,0_real,0.3968732446910725
0.3427185437087418,0_real,0.39663471579547394
0.34256851370274055,0_real,0.3963963183845502
0.34241848369673933,0_real,0.39615805223525286
0.3422684536907381,0_real,0.39591991712508734
0.342118423684737,0_real,0.3956819128320976
0.34196839367873577,0_real,0.39544403913487713
0.34181836367273455,0_real,0.3952062958125601
0.3416683336667333,0_real,0.3949686826448241
0.3415183036607321,0_real,0.39473119941188584
0.341368273654731,0_real,0.3944938458944957
0.34121824364872977,0_real,0.3942566218739442
0.34106821364272855,0_real,0.39401952713205224
0.3409181836367273,0_real,0.39378256145117463
0.3407681536307261,0_real,0.39354572461419357
0.340618123624725,0_real,0.393309016404525
0.34046809361872377,0_real,0.3930724366061068
0.34031806361272254,0_real,0.3928359850034006
0.3401680336067213,0_real,0.39259966138139446
0.3400180036007201,0_real,0.39236346552559903
0.339867973594719,0_real,0.3921273972220387
0.33971794358871776,0_real,0.3918914562572589
0.33956791358271654,0_real,0.3916556424183215
0.3394178835767153,0_real,0.3914199554928022
0.3392678535707141,0_real,0.39118439526878585
0.339117823564713,0_real,0.3909489615348753
0.33896779355871176,0_real,0.39071365408017616
0.33881776355271054,0_real,0.39047847269430136
0.3386677335467093,0_real,0.3902434171673742
0.3385177035407081,0_real,0.39000848729001725
0.338367673534707,0_real,0.3897736828533582
0.33821764352870576,0_real,0.3895390036490245
0.33806761352270454,0_real,0.3893044494691405
0.3379175835167033,0_real,0.389070020106332
0.3377675535107021,0_real,0.3888357153537176
0.337617523504701,0_real,0.3886015350049098
0.33746749349869976,0_real,0.3883674788540121
0.33731746349269853,0_real,0.38813354669562317
0.3371674334866973,0_real,0.38789973832482627
0.3370174034806961,0_real,0.3876660535371942
0.336867373474695,0_real,0.38743249212878383
0.33671734346869375,0_real,0.38719905389613746
0.33656731346269253,0_real,0.38696573863628386
0.3364172834566913,0_real,0.3867325461467235
0.3362672534506901,0_real,0.38649947622544467
0.336117223444689,0_real,0.3862665286709067
0.33596719343868775,0_real,0.3860337032820533
0.3358171634326865,0_real,0.38580099985829563
0.3356671334266853,0_real,0.3855684181995239
0.3355171034206841,0_real,0.38533595810609195
0.33536707341468297,0_real,0.3851036193788294
0.33521704340868175,0_real,0.38487140181903495
0.3350670134026805,0_real,0.3846393052284697
0.3349169833966793,0_real,0.3844073294093667
0.3347669533906781,0_real,0.3841754741644145
0.33461692338467697,0_real,0.38394373929677245
0.33446689337867574,0_real,0.38371212461005216
0.3343168633726745,0_real,0.3834806299083363
0.3341668333666733,0_real,0.3832492549961491
0.3340168033606722,0_real,0.3830179996784871
0.33386677335467096,0_real,0.38278686376079124
0.33371674334866974,0_real,0.38255584704895956
0.3335667133426685,0_real,0.38232494934934635
0.3334166833366673,0_real,0.382094170468744
0.3332666533306662,0_real,0.3818635102144095
0.33311662332466496,0_real,0.38163296839403277
0.33296659331866374,0_real,0.38140254481575925
0.3328165633126625,0_real,0.3811722392881768
0.3326665333066613,0_real,0.38094205162031364
0.3325165033006602,0_real,0.38071198162164543
0.33236647329465896,0_real,0.3804820291020805
0.33221644328865774,0_real,0.3802521938719726
0.3320664132826565,0_real,0.3800224757421111
0.3319163832766553,0_real,0.3797928745237185
0.3317663532706542,0_real,0.37956339002845524
0.33161632326465296,0_real,0.37933402206841416
0.33146629325865173,0_real,0.3791047704561198
0.3313162632526505,0_real,0.3788756350045289
