0,1,2,3,time,classifier,pseudotime_index,pseudotime
0.0018500242,0.55025643,0.4410222,0.006871308,447,c1_0,447,0.92172915
0.0008075096,0.3450685,0.6477591,0.0063648853,451,c1_0,451,0.92324394
0.0010176016,0.4702068,0.52247137,0.0063042245,455,c1_0,455,0.92368954
0.0014518675,0.66410357,0.32871953,0.0057250913,459,c1_0,459,0.9259231
0.0013836697,0.79945487,0.19473515,0.004426316,463,c1_0,463,0.9281577
0.0011246874,0.8844774,0.110979155,0.0034188272,467,c1_0,467,0.9294067
0.28120184,0.20479415,0.34060574,0.17339829,3,c1_1,3,0.8042416
0.2802396,0.1978569,0.35122025,0.17068323,7,c1_1,7,0.806724
0.29373917,0.2007848,0.32528046,0.18019564,11,c1_1,11,0.8094284
0.3076396,0.22726655,0.2526426,0.21245128,15,c1_1,15,0.81074214
0.30512667,0.21609753,0.26916462,0.20961113,19,c1_1,19,0.8116821
0.28408673,0.22389443,0.29258543,0.19943336,23,c1_1,23,0.8133058
0.31139857,0.24947318,0.22878632,0.21034186,27,c1_1,27,0.8148066
0.3487899,0.25835365,0.19071122,0.20214514,31,c1_1,31,0.81655234
0.327745,0.24712989,0.21153195,0.2135932,35,c1_1,35,0.8195341
0.34898645,0.25109166,0.1900945,0.20982735,39,c1_1,39,0.82294726
0.29360485,0.23785609,0.23769177,0.23084728,43,c1_1,43,0.8238628
0.254546,0.22601476,0.2698865,0.2495527,47,c1_1,47,0.8272912
0.27315095,0.23180859,0.2617811,0.23325934,51,c1_1,51,0.8301093
0.268012,0.2298113,0.26661518,0.23556156,55,c1_1,55,0.8322839
0.29126635,0.23605278,0.2498435,0.2228374,59,c1_1,59,0.83429587
0.29797244,0.24023193,0.24763776,0.2141579,63,c1_1,63,0.8350815
0.30616108,0.24186045,0.23831744,0.213661,67,c1_1,67,0.8369641
0.3233242,0.24164578,0.23100989,0.20402007,71,c1_1,71,0.8388823
0.3306055,0.23913383,0.24173427,0.18852644,75,c1_1,75,0.8394221
0.3140092,0.23856929,0.25976402,0.18765748,79,c1_1,79,0.8409384
0.27061138,0.23061803,0.33477807,0.16399243,83,c1_1,83,0.8429614
0.31221423,0.24431811,0.25539514,0.18807253,87,c1_1,87,0.84507793
0.3332961,0.24718067,0.237646,0.1818773,91,c1_1,91,0.846564
0.35929358,0.25001428,0.2139508,0.17674136,95,c1_1,95,0.84759885
0.33101594,0.24329923,0.23292588,0.19275898,99,c1_1,99,0.8502942
