time,state,smoothing,residuals,variance,ac1,0,1,2,3
283,0.24609875144048302,0.24877476440755766,-0.002676012967074648,4.614162440756105e-05,0.05995514097449922,,,,
284,0.2537234500628166,0.24936005611744277,0.004363393945373828,4.599244334330686e-05,0.06539384191986446,,,,
285,0.2711261914773232,0.2499446621765132,0.021181529300809993,4.938658555027752e-05,0.07134715231179314,,,,
286,0.2595311337896182,0.25052858923228954,0.009002544557328629,4.947758092706815e-05,0.10187070702730258,,,,
287,0.23871238105543194,0.25111182627729595,-0.012399445221864008,5.066953538233935e-05,0.08156216653396214,,,,
288,0.2508698398645141,0.25169421464857966,-0.0008243747840655513,4.994294129911179e-05,0.0961324384402041,,,,
289,0.2447349309556562,0.25227559172355424,-0.0075406607678980275,4.977349935199051e-05,0.10364547262672354,0.6990184,0.2267803,0.038865164,0.03533611
290,0.2644383803891938,0.25285566122115616,0.011582719168037658,5.072994406205493e-05,0.08324975929525706,,,,
291,0.25233947969865883,0.2534341097504602,-0.0010946300518013818,5.028092829500852e-05,0.07399330054529961,,,,
292,0.25414776649957793,0.25401063366337,0.0001371328362079205,5.000277598271338e-05,0.06209603641698626,,,,
293,0.24649659616523226,0.25458499470803037,-0.008088398542798109,4.900831676360276e-05,0.04894282283541453,,,,
294,0.2588801092386578,0.2551571791880573,0.0037229300506004814,4.8829800320755336e-05,0.041379402975707566,,,,
295,0.24625946238683852,0.2557273552630239,-0.009467892876185408,4.9504207483873445e-05,0.03459275812666577,,,,
296,0.25583758495070424,0.25629579971402355,-0.000458214763319309,4.948241781120112e-05,0.032870641913875634,,,,
297,0.2553035098641729,0.25686278958760506,-0.001559279723432172,4.8925460534170495e-05,0.044841628941803886,,,,
298,0.2521036946343668,0.2574286759770286,-0.005324981342661794,4.8609360814428074e-05,0.0532428967694111,,,,
299,0.265821665894215,0.25799386200383667,0.007827803890378349,4.890524808963882e-05,0.04869015965395336,0.7519082,0.20229635,0.023568897,0.02222656
300,0.26500016830142026,0.25855882752502285,0.006441340776397408,4.916004448771696e-05,0.059860118214696535,,,,
301,0.2678295737256835,0.2591241860514442,0.008705387674239284,4.945151706570267e-05,0.06311174798614123,,,,
302,0.2679838517763512,0.2596905572551744,0.008293294521176775,4.972640711568051e-05,0.07084309530946555,,,,
303,0.2617575870898883,0.26025848346883645,0.0014991036210518227,4.964774962230023e-05,0.07400505455622686,,,,
304,0.2654478552604944,0.26082846386344305,0.0046193913970513645,4.9702802176080606e-05,0.07135317951506301,,,,
305,0.2633354194743984,0.2614009545077276,0.0019344649666708236,4.937180830483238e-05,0.07666288003743753,,,,
306,0.2583121351142146,0.26197620420267176,-0.003664069088457178,4.939188622130448e-05,0.07742604034558859,,,,
