state,smoothing,residuals,variance,ac1,protocol
-5.910788,-5.698433524096712,-0.21235447590328782,,,overexpress_0
-6.102693,-5.698884081080943,-0.403808918919057,,,overexpress_0
-5.22783,-5.699850326430511,0.47202032643051073,,,overexpress_0
-4.750928,-5.701370852631201,0.950442852631201,,,overexpress_0
-5.9429846,-5.703476574491365,-0.23950802550863504,,,overexpress_0
-4.8154306,-5.706208782925037,0.890778182925037,,,overexpress_0
-5.9000893,-5.709591103585803,-0.19049819641419763,,,overexpress_0
-5.912147,-5.71363776354319,-0.19850923645681018,,,overexpress_0
-5.945327,-5.718422301485483,-0.22690469851451667,,,overexpress_0
-5.4565496,-5.7239958622189,0.26744626221890044,,,overexpress_0
-5.919954,-5.730338888453563,-0.18961511154643684,0.31413033496473813,0.07524208612134385,overexpress_0
